Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
5914P01|2015P00254|1594D*1|||||000001|01/01/2001|Vente|1,00|9102||RUE|0858|DE NORMANDIE|59370|MONS EN BAROEUL|59|410||AI|150||397||||||||||1|3|Dépendance|534485|0|0|||
5914P01|2015P00254|1594D*1|||||000001|01/01/2001|Vente|1,00|1||RUE|0858|DE NORMANDIE|59370|MONS EN BAROEUL|59|410||AI|150||565||||||||||1|2|Appartement|534176|85|4|||
5914P01|2015P00267|1594D*1|||||000001|01/01/2001|Vente|1,00|146||RUE|0376|D ARRAS|59000|LILLE|59|350||OX|336||||||||||||0|1|Maison|1016869|186|4|S||77
5914P01|2015P00409|1594D*1|||||000001|01/01/2001|Vente|1,00|22||BD|5603|DE LA LIBERTE|59800|LILLE|59|350||KR|149||69||98||||||||2|2|Appartement|372947|21|1|||
5914P01|2015P00411|1594FQA*1|||||000001|01/01/2001|Vente|1,00|6||RUE|0544|DES PIQURIERES|59118|WAMBRECHIES|59|636||B|741||165||||||||||1|3|Dépendance|1172525|0|0|||
5914P01|2015P00411|1594FQA*1|||||000001|01/01/2001|Vente|1,00|6||RUE|0544|DES PIQURIERES|59118|WAMBRECHIES|59|636||B|741||60||||||||||1|2|Appartement|1172338|93|3|||
5914P01|2015P00411|1594FQA*1|||||000001|01/01/2001|Vente|1,00|6||RUE|0544|DES PIQURIERES|59118|WAMBRECHIES|59|636||B|741||160||||||||||1|3|Dépendance|1172518|0|0|||
5914P01|2015P00474|1594D*1|||||000001|01/01/2001|Vente|1,00|428||RUE|5513|LEON GAMBETTA|59000|LILLE|59|350||PY|216||24|1,00|||||||||1|2|Appartement|417386|16|1|||
5914P01|2015P00481|1594D*1|||||000001|01/01/2001|Vente|1,00|40||RUE|1000|DU MONT GARIN|59130|LAMBERSART|59|328||AM|114||||||||||||0|1|Maison|282013|85|4|S||183
5914P01|2015P00481|1594D*1|||||000001|01/01/2001|Vente|1,00|||RUE|1370|DE VERLINGHEM|59130|LAMBERSART|59|328||AM|211||||||||||||0||||||AG|IMM|32
